;date_start;date_end;sortam;req;in_plan;out_plan;out_nom
0;2019-07-16;2019-07-23;Арматура АII 8;475.0;0.0;0.0;0.0
1;2019-07-16;2019-07-23;Квадрат 20;645.0;110.0;0.0;0.0
2;2019-07-16;2019-07-23;Круг 12;145.0;0.0;0.0;0.0
3;2019-07-16;2019-07-23;Круг 14;1.0;0.0;0.0;0.0
4;2019-07-16;2019-07-23;Круг 16;168.0;168.0;830.0;0.0
5;2019-07-16;2019-07-23;Круг 20;3.0;0.0;0.0;0.0
6;2019-07-16;2019-07-23;Круг 22;2.0;0.0;0.0;0.0
7;2019-07-16;2019-07-23;Круг 25;3.0;0.0;0.0;0.0
8;2019-07-16;2019-07-23;Круг 26;41.0;0.0;0.0;0.0
9;2019-07-16;2019-07-23;Круг 30;11.0;11.0;56.0;0.0
10;2019-07-16;2019-07-23;Круг 32;62.0;0.0;0.0;0.0
11;2019-07-16;2019-07-23;Круг 34;0.0;0.0;0.0;70.0
12;2019-07-16;2019-07-23;Круг 35;4.0;0.0;0.0;0.0
13;2019-07-16;2019-07-23;Круг 38;2.0;2.0;7.0;0.0
14;2019-07-16;2019-07-23;Круг 40;2.0;2.0;298.0;0.0
15;2019-07-16;2019-07-23;Круг 48;3.0;3.0;12.0;0.0
16;2019-07-16;2019-07-23;Круг 60;8.0;0.0;0.0;0.0
17;2019-07-16;2019-07-23;Круг 8;170.0;0.0;0.0;0.0
18;2019-07-16;2019-07-23;Круг 80;31.0;0.0;0.0;0.0
19;2019-07-16;2019-07-23;Круг 90;31.0;0.0;0.0;0.0
20;2019-07-16;2019-07-23;Лист 0,5;11.0;0.0;0.0;0.0
21;2019-07-16;2019-07-23;Лист 1;1.0;0.0;0.0;0.0
22;2019-07-16;2019-07-23;Лист 10;33.0;0.0;0.0;0.0
23;2019-07-16;2019-07-23;Лист 12;12582.0;9180.0;0.0;0.0
24;2019-07-16;2019-07-23;Лист 14;25.0;0.0;0.0;0.0
25;2019-07-16;2019-07-23;Лист 16;4348.0;4348.0;4748.0;0.0
26;2019-07-16;2019-07-23;Лист 2;22.0;0.0;0.0;0.0
27;2019-07-16;2019-07-23;Лист 20;185.0;0.0;0.0;0.0
28;2019-07-16;2019-07-23;Лист 24;1199.0;0.0;0.0;0.0
29;2019-07-16;2019-07-23;Лист 25;72.0;0.0;0.0;0.0
30;2019-07-16;2019-07-23;Лист 3;14520.0;14520.0;2670.0;0.0
31;2019-07-16;2019-07-23;Лист 30;85.0;0.0;0.0;0.0
32;2019-07-16;2019-07-23;Лист 4;44010.0;29880.0;0.0;0.0
33;2019-07-16;2019-07-23;Лист 5;1411.0;0.0;0.0;0.0
34;2019-07-16;2019-07-23;Лист 6;9471.0;9471.0;3389.0;0.0
35;2019-07-16;2019-07-23;Лист 8;2.0;0.0;0.0;0.0
36;2019-07-16;2019-07-23;Лист ПВ 506;808.0;0.0;0.0;0.0
37;2019-07-16;2019-07-23;Проволока ТО 6;0.0;0.0;0.0;3016.0
38;2019-07-16;2019-07-23;Профиль 180х140х6;505.0;0.0;0.0;0.0
39;2019-07-16;2019-07-23;Профиль 50х25х4;489.0;0.0;0.0;0.0
40;2019-07-16;2019-07-23;Профиль 80х80х4;3186.0;0.0;0.0;0.0
41;2019-07-16;2019-07-23;Сетка П36-12Х18Н9Т;1.0;0.0;0.0;0.0
42;2019-07-16;2019-07-23;Труба 133х6;27.0;0.0;0.0;0.0
43;2019-07-16;2019-07-23;Труба 219х8;3035.0;3035.0;347.0;0.0
44;2019-07-16;2019-07-23;Труба 219х9;1498.0;0.0;0.0;0.0
45;2019-07-16;2019-07-23;Труба 25х2,5;3.0;0.0;0.0;0.0
46;2019-07-16;2019-07-23;Труба 48х3,5;5.0;0.0;0.0;0.0
47;2019-07-16;2019-07-23;Труба 530х12;13953.0;13953.0;2068.0;0.0
48;2019-07-16;2019-07-23;Труба 530х14;375.0;0.0;0.0;0.0
49;2019-07-16;2019-07-23;Труба 70х9;10.0;0.0;0.0;0.0
50;2019-07-16;2019-07-23;Труба 89х6;14.0;0.0;0.0;0.0
51;2019-07-16;2019-07-23;Труба Ду 15х21,3х2,8;1.0;0.0;0.0;0.0
52;2019-07-16;2019-07-23;Труба Ду 25х33,5х3,2;24.0;0.0;0.0;0.0
53;2019-07-16;2019-07-23;Труба полипропилен PR-R-20х4.1;1.0;0.0;0.0;0.0
54;2019-07-16;2019-07-23;Уголок 100х100х10;7499.0;5900.0;0.0;0.0
55;2019-07-16;2019-07-23;Уголок 100х100х7;478.0;0.0;0.0;0.0
56;2019-07-16;2019-07-23;Уголок 100х100х8;15493.0;11100.0;0.0;0.0
57;2019-07-16;2019-07-23;Уголок 110х110х8;264.0;0.0;0.0;0.0
58;2019-07-16;2019-07-23;Уголок 125х125х12;2687.0;2640.0;0.0;0.0
59;2019-07-16;2019-07-23;Уголок 125х125х8;10030.0;10030.0;16275.0;0.0
60;2019-07-16;2019-07-23;Уголок 125х125х9;33.0;0.0;0.0;0.0
61;2019-07-16;2019-07-23;Уголок 30х30х4;1.0;0.0;0.0;0.0
62;2019-07-16;2019-07-23;Уголок 32х32х4;7449.0;5625.0;0.0;0.0
63;2019-07-16;2019-07-23;Уголок 40х40х4;31.0;31.0;3429.0;0.0
64;2019-07-16;2019-07-23;Уголок 45х45х4;0.0;0.0;0.0;1000.0
65;2019-07-16;2019-07-23;Уголок 50х50х4;100.0;0.0;0.0;0.0
66;2019-07-16;2019-07-23;Уголок 50х50х5;2246.0;0.0;0.0;0.0
67;2019-07-16;2019-07-23;Уголок 63х63х5;5452.0;5452.0;12008.0;0.0
68;2019-07-16;2019-07-23;Уголок 70х70х5;433.0;0.0;0.0;0.0
69;2019-07-16;2019-07-23;Уголок 75х75х6;2945.0;0.0;0.0;0.0
70;2019-07-16;2019-07-23;Уголок 75х75х8;204.0;0.0;0.0;0.0
71;2019-07-16;2019-07-23;Уголок 80х80х6;4545.0;4545.0;9410.0;0.0
72;2019-07-16;2019-07-23;Уголок 80х80х8;1420.0;1400.0;0.0;0.0
73;2019-07-16;2019-07-23;Уголок 90х90х7;35.0;0.0;0.0;0.0
74;2019-07-16;2019-07-23;Швеллер 10П;7.0;0.0;0.0;0.0
75;2019-07-16;2019-07-23;Швеллер 12У;163.0;163.0;87.0;0.0
76;2019-07-16;2019-07-23;Швеллер 14П;27.0;0.0;0.0;0.0
77;2019-07-16;2019-07-23;Швеллер 16У;38.0;0.0;0.0;0.0
78;2019-07-16;2019-07-23;Швеллер 18П;10102.0;7514.0;0.0;0.0
79;2019-07-16;2019-07-23;лист рифлёный ромб 4;63.0;0.0;0.0;0.0
80;2019-07-16;2019-07-23;лист рифлёный чечевичный 4;1.0;0.0;0.0;0.0
81;2019-07-19;2019-07-26;Арматура АII 8;475.0;0.0;0.0;0.0
82;2019-07-19;2019-07-26;Круг 12;4.0;0.0;0.0;0.0
83;2019-07-19;2019-07-26;Круг 14;1.0;0.0;0.0;0.0
84;2019-07-19;2019-07-26;Круг 16;1.0;0.0;0.0;0.0
85;2019-07-19;2019-07-26;Круг 20;3.0;0.0;0.0;0.0
86;2019-07-19;2019-07-26;Круг 22;2.0;0.0;0.0;0.0
87;2019-07-19;2019-07-26;Круг 25;3.0;0.0;0.0;0.0
88;2019-07-19;2019-07-26;Круг 26;49.0;0.0;0.0;0.0
89;2019-07-19;2019-07-26;Круг 30;8.0;0.0;0.0;0.0
90;2019-07-19;2019-07-26;Круг 32;76.0;0.0;0.0;0.0
91;2019-07-19;2019-07-26;Круг 35;4.0;0.0;0.0;0.0
92;2019-07-19;2019-07-26;Круг 40;2.0;0.0;0.0;0.0
93;2019-07-19;2019-07-26;Круг 60;8.0;0.0;0.0;0.0
94;2019-07-19;2019-07-26;Круг 8;170.0;0.0;0.0;0.0
95;2019-07-19;2019-07-26;Круг 80;31.0;0.0;0.0;0.0
96;2019-07-19;2019-07-26;Круг 90;31.0;31.0;183.0;0.0
97;2019-07-19;2019-07-26;Лист 0,5;7.0;0.0;0.0;0.0
98;2019-07-19;2019-07-26;Лист 1;1.0;0.0;0.0;0.0
99;2019-07-19;2019-07-26;Лист 10;1298.0;0.0;0.0;0.0
100;2019-07-19;2019-07-26;Лист 12;14178.0;14178.0;4912.0;0.0
101;2019-07-19;2019-07-26;Лист 14;25.0;25.0;1963.0;0.0
102;2019-07-19;2019-07-26;Лист 16;13201.0;9096.0;0.0;0.0
103;2019-07-19;2019-07-26;Лист 2;76.0;0.0;0.0;0.0
104;2019-07-19;2019-07-26;Лист 20;185.0;0.0;0.0;0.0
105;2019-07-19;2019-07-26;Лист 24;1199.0;0.0;0.0;0.0
106;2019-07-19;2019-07-26;Лист 25;72.0;72.0;3498.0;0.0
107;2019-07-19;2019-07-26;Лист 3;16679.0;16679.0;511.0;0.0
108;2019-07-19;2019-07-26;Лист 30;1666.0;0.0;0.0;0.0
109;2019-07-19;2019-07-26;Лист 4;63814.0;32958.0;0.0;0.0
